cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
174,ทองผาภูมิ,0.8105656875,8,forest/trees,14.9198939751201,98.9028284404016,332.5
175,ไทรโยค,0.8126366875,5,forest/trees,14.3455336403362,98.9067585697696,309.649993896484
176,ไทรโยค,7.308826375,2,forest/trees,14.4988086856891,98.9171765317452,367
177,ทองผาภูมิ,2.164920765625,7,forest/trees,14.5676561305111,98.9154609990845,308.100006103516
178,ทองผาภูมิ,1.0822635625,9,forest/trees,14.6087119462306,98.9104079756114,335.339996337891
179,ไทรโยค,3.386158890625,4,shrub&crub,14.3338106258784,98.917515895297,353.119995117187
180,ทองผาภูมิ,0.9472083125,8,forest/trees,14.554391943894,98.9196718519788,332.790008544922
181,ศรีสวัสดิ์,0.8113951875,7,forest/trees,14.6925079188273,98.9258477695572,302.329986572266
182,ทองผาภูมิ,1.35078796875,7,shrub&crub,14.945159092486,98.9280935577675,342.410003662109
183,ศรีสวัสดิ์,2.029897125,6,forest/trees,14.5359764805695,98.936066105914,314.489990234375
184,ทองผาภูมิ,1.350560359375,4,forest/trees,14.9822145979559,98.9348309223984,330.119995117187
185,ไทรโยค,2.167807125,4,forest/trees,14.2630009236077,98.9398839458715,334.410003662109
186,ศรีสวัสดิ์,0.81209184375,8,forest/trees,14.4988086856891,98.9415682870293,337.950012207031
187,ศรีสวัสดิ์,0.81199546875,7,forest/trees,14.5257581442127,98.9466213105024,306.140014648438
188,ไทรโยค,2.032527234375,3,forest/trees,14.2393078579891,98.9504391504599,353.119995117187
189,ศรีสวัสดิ์,7.4419845625,8,forest/trees,14.5655392199196,98.9698958428637,351.089996337891
190,ศรีสวัสดิ์,6.899604703125,5,shrub&crub,14.6030066533875,98.9805723440346,367
191,ศรีสวัสดิ์,1.216265390625,6,forest/trees,14.8440986230225,98.9892912864981,333.630004882813
192,ไทรโยค,2.03390721875,6,forest/trees,14.081204367984,98.9967023875921,345.700012207031
193,ศรีสวัสดิ์,0.810923578125,7,forest/trees,14.8222021879721,98.9971515452342,344.459991455078
194,ศรีสวัสดิ์,15.027024359375,2,forest/trees,14.4484150191593,99.0220069579941,367
195,ศรีสวัสดิ์,1.215913546875,9,shrub&crub,14.908103587016,99.0016431216547,335.549987792969
196,ศรีสวัสดิ์,7.303983234375,6,shrub&crub,14.6486526657207,98.9962158001465,347.799987792969
197,ไทรโยค,2.709229078125,7,forest/trees,14.3081412666347,99.0040573439808,348.350006103516
198,ไทรโยค,0.81249353125,7,forest/trees,14.3859578281216,99.014556403864,302.720001220703
199,ไทรโยค,4.335027328125,6,forest/trees,14.294266506348,99.0166267398703,331.100006103516
200,ศรีสวัสดิ์,0.94592875,4,forest/trees,14.8570921119535,99.0250634844193,332.390014648437
201,ศรีสวัสดิ์,1.2152615625,2,forest/trees,15.0260074680567,99.0218552155474,335.459991455078
202,ศรีสวัสดิ์,56.1868026093751,3,forest/trees,14.9685374238434,99.0385312727148,367
203,ไทรโยค,1.2197371875,7,forest/trees,14.1973116184565,99.048804674071,307.630004882812
204,ศรีสวัสดิ์,1.48957346875,7,shrub&crub,14.3856515842747,99.0498254868939,306.350006103516
